date,close,open,BlackW,BlackM,AsianW,AsianM,HispanicW,HispanicM
2015,34453,54757,30624,38979,41211,63934,27116,39238
2014,32588,53196,28427,38031,39083,59620,24731,36452
2013,32453,52529,28400,36938,37797,64164,24530,35221
2012,31368,49915,27531,34232,37004,57141,23472,33553
2011,30553,48948,27106,34086,34609,53349,23309,31979
2010,29745,47077,26315,32453,34112,51742,22614,31485
2009,29723,46800,26059,33077,35824,56670,22866,30928
2008,29087,47751,26233,32986,34375,54231,22063,32534
2007,29249,47137,26950,32481,34980,52538,22649,31693
2006,28416,46677,25839,32232,34315,55208,21676,31432
2005,26261,44850,23877,30791,30790,49654,20356,29799
2004,25027,42831,22552,29822,29385,48311,19494,29232
2003,24630,41483,22400,28880,27807,43842,18852,27725
2002,23619,41057,22055,28819,26132,44124,18180,27647
